productId	productSKU	product_url	name	price	image	Category	Short Description	Description	tags	Features	Related Products	Size	Activity	Gender	Material	Color
2643	WT08	https://gopher1.extrkt.com/?product=antonia-racer-tank	Antonia Racer Tank	£34.00	https://gopher1.extrkt.com/wp-content/uploads/2023/11/wt08-black_main-300x300.jpg	Performance Fabrics|Clothing	This is a variable product called a Antonia Racer Tank	You won’t know what you like best about the Antonia Racer Tank: soft, stretchy, lightweight fabric? Super-cute colorblocked details? Whatever it is, this piece is sure to quickly move to the top of your workout rotation.	['Clothing', 'Women', 'Tops', 'Bras & Tanks|Clothing', 'Promotions', 'Women Sale|Clothing', 'Collections', 'Performance Fabrics|Clothing']	Machine wash. Line dry.	None	XS, S, M, L, XL	None	None	None	Black, Purple, Yellow
998	MSH02	https://gopher1.extrkt.com/?product=apollo-running-short	Apollo Running Short	£32.50	https://gopher1.extrkt.com/wp-content/uploads/2023/11/msh02-black_main-300x300.jpg	Shorts	This is a variable product called a Apollo Running Short	Fleet of foot or slow and steady, you’ll be in complete comfort with the Apollo Running Short. Lightweight polyester material lets you move with ease, and mesh side panels promise plenty of ventilation as you work up a sweat. The stretchy elastic waistband delivers a flexible fit.	['Clothing', 'Men', 'Bottoms', 'Shorts']	Black shorts with green accents. Side pockets.  4″ inseam.  Machine wash/dry.	[{'Name': 'Arcadio Gym Short', 'Price': '£20.00', 'Link': 'https://gopher1.extrkt.com/?product=arcadio-gym-short'}, {'Name': 'Torque Power Short', 'Price': '£32.50', 'Link': 'https://gopher1.extrkt.com/?product=torque-power-short'}]	32, 33, 34, 36	None	None	None	Black
1152	MSH11	https://gopher1.extrkt.com/?product=arcadio-gym-short	Arcadio Gym Short	£20.00	https://gopher1.extrkt.com/wp-content/uploads/2023/11/msh11-blue_main-300x300.jpg	Shorts	This is a variable product called a Arcadio Gym Short	The Arcadio Gym short is a basic-looking piece with a lot more than meets the eye: casual-yet-functional relaxed fit, comfortable waistband and adjustable drawstring. Everything you need, plus more.	['Clothing', 'Men', 'Bottoms', 'Shorts']	Royal blue cotton shorts. Built-in mesh brief.  87% Spandex 13% Lycra. Adjustable drawstring.	[{'Name': 'Torque Power Short', 'Price': '£32.50', 'Link': 'https://gopher1.extrkt.com/?product=torque-power-short'}, {'Name': 'Apollo Running Short', 'Price': '£32.50', 'Link': 'https://gopher1.extrkt.com/?product=apollo-running-short'}]	32, 33, 34, 36	None	None	None	Black, Blue, Red
1278	MT07	https://gopher1.extrkt.com/?product=argus-all-weather-tank	Argus All-Weather Tank	£22.00	https://gopher1.extrkt.com/wp-content/uploads/2023/11/mt07-gray_main-300x300.jpg	Eco Friendly|Clothing	This is a variable product called a Argus All-Weather Tank	The Argus All-Weather Tank is sure to become your favorite base layer or go-to cover for hot outdoor workouts. With its subtle reflective safely trim, you can even wear it jogging on urban evenings.	['Clothing', 'Men', 'Tops', 'Tanks|Clothing', 'Collections', 'Eco Friendly|Clothing']	Dark gray polyester spandex tank. Reflective details for nighttime visibility.  Stash pocket. Anti-chafe flatlock seams.	[{'Name': 'Atlas Fitness Tank', 'Price': '£18.00', 'Link': 'https://gopher1.extrkt.com/?product=atlas-fitness-tank'}]	XS, S, M, L, XL	None	None	None	Gray
1588	WH09	https://gopher1.extrkt.com/?product=ariel-roll-sleeve-sweatshirt	Ariel Roll Sleeve Sweatshirt	£39.00	https://gopher1.extrkt.com/wp-content/uploads/2023/11/wh09-purple_main-300x300.jpg	Eco Friendly|Clothing	This is a variable product called a Ariel Roll Sleeve Sweatshirt	Soft, sleek and subtle, the Ariel Roll Sleeve Sweatshirt is a nuanced fitness garment for all occasions. It works equally well as a workout piece or in a casual social setting.	['Clothing', 'Women', 'Tops', 'Hoodies & Sweatshirts|Clothing', 'Collections', 'Eco Friendly|Clothing']	Purple two-tone lightweight hoodie.  100% cotton. Adjustable roll sleeves for Long-Sleeve or 3/4 sleeve. Casual, comfy piece for running errands or weekend activities.	None	XS, S, M, L, XL	None	None	None	Green, Purple, Red
2377	WSH04	https://gopher1.extrkt.com/?product=artemis-running-short	Artemis Running Short	£45.00	https://gopher1.extrkt.com/wp-content/uploads/2023/11/wsh04-black_main-300x300.jpg	Shorts	This is a variable product called a Artemis Running Short	Discover smooth jogging and chic comfort each time you slip into the Artemis Running Short. A unique maritime-inspired design and oolor theme features a stretchy drawstring waist.	['Clothing', 'Women', 'Bottoms', 'Shorts']	Black rouched shorts with mint waist.  Soft, lightweight construction. LumaTech™ wicking technology. Semi-fitted.	[{'Name': 'Mimi All-Purpose Short', 'Price': '£44.00', 'Link': 'https://gopher1.extrkt.com/?product=mimi-all-purpose-short'}, {'Name': 'Angel Light Running Short', 'Price': '£42.00', 'Link': 'https://gopher1.extrkt.com/?product=angel-light-running-short'}]	28, 29, 30, 31, 32	None	None	None	Black, Green, Orange
1302	MT11	https://gopher1.extrkt.com/?product=atlas-fitness-tank	Atlas Fitness Tank	£18.00	https://gopher1.extrkt.com/wp-content/uploads/2023/11/mt11-blue_main-300x300.jpg	Eco Friendly|Clothing	This is a variable product called a Atlas Fitness Tank	From weekend warrior to Warrior Pose II, no role can beat the Atlas Fitness Tank, a versatile top for gym and yoga studio. Wicking-weave soft fabric helps prevent uncomfortable chafing.	['Clothing', 'Men', 'Tops', 'Tanks|Clothing', 'Collections', 'Eco Friendly|Clothing']	Teal scoop neck cotton tank. Triblend, soft fabric. Relaxed fit.	[{'Name': 'Argus All-Weather Tank', 'Price': '£22.00', 'Link': 'https://gopher1.extrkt.com/?product=argus-all-weather-tank'}]	XS, S, M, L, XL	None	None	None	Blue
969	MS12	https://gopher1.extrkt.com/?product=atomic-endurance-running-tee-crew-neck	Atomic Endurance Running Tee (Crew-Neck)	£29.00	https://gopher1.extrkt.com/wp-content/uploads/2023/11/ms12-red_main-300x300.jpg	Tees	This is a variable product called a Atomic Endurance Running Tee (Crew-Neck)	Like it’s v-neck counterpart, the crew-neck Atomic Tee will get you to your goal and beyond with its many load-bearing features: ultra-lightweight, moisture-wicking Cocona® fabric, chafe-free flatlock seams and an ergonomic cut that moves with your body.	['Clothing', 'Men', 'Tops', 'Tees']	Red polyester tee. Crew neckline.  Cocona® performance fabric.  Machine wash/dry.	[{'Name': 'Logan  HeatTec® Tee', 'Price': '£24.00', 'Link': 'https://gopher1.extrkt.com/?product=logan-heattec-tee'}, {'Name': 'Gobi HeatTec® Tee', 'Price': '£29.00', 'Link': 'https://gopher1.extrkt.com/?product=gobi-heattec-tee'}, {'Name': 'Ryker LumaTech™ Tee (V-neck)', 'Price': '£28.00', 'Link': 'https://gopher1.extrkt.com/?product=ryker-lumatech-tee-v-neck'}, {'Name': 'Balboa Persistence Tee', 'Price': '£29.00', 'Link': 'https://gopher1.extrkt.com/?product=balboa-persistence-tee'}]	XS, S, M, L, XL	None	None	None	Black, Blue, Red
948	MS11	https://gopher1.extrkt.com/?product=atomic-endurance-running-tee-v-neck	Atomic Endurance Running Tee (V-neck)	£28.00	https://gopher1.extrkt.com/wp-content/uploads/2023/11/ms11-green_main-300x300.jpg	Tees	This is a variable product called a Atomic Endurance Running Tee (V-neck)	Reach your limit and keep on going in the Atomic Endurance Running Tee. Built to help any athlete push past the wall with loads of performance features.	['Clothing', 'Men', 'Tops', 'Tees']	Lime heathered v-neck tee.  Ultra-lightweight. Moisture-wicking Cocona® fabric. Machine wash/dry.	[{'Name': 'Strike Endurance Tee', 'Price': '£39.00', 'Link': 'https://gopher1.extrkt.com/?product=strike-endurance-tee'}, {'Name': 'Gobi HeatTec® Tee', 'Price': '£29.00', 'Link': 'https://gopher1.extrkt.com/?product=gobi-heattec-tee'}, {'Name': 'Ryker LumaTech™ Tee (V-neck)', 'Price': '£28.00', 'Link': 'https://gopher1.extrkt.com/?product=ryker-lumatech-tee-v-neck'}, {'Name': 'Logan  HeatTec® Tee', 'Price': '£24.00', 'Link': 'https://gopher1.extrkt.com/?product=logan-heattec-tee'}]	XS, S, M, L, XL	None	None	None	Blue, Green, Yellow
1701	WJ03	https://gopher1.extrkt.com/?product=augusta-pullover-jacket	Augusta Pullover Jacket	£57.00	https://gopher1.extrkt.com/wp-content/uploads/2023/11/wj03-red_main-300x300.jpg	Jackets	This is a variable product called a Augusta Pullover Jacket	It’s hard to be uncomfortable in the Augusta Pullover Jacket with ¼ zip. With an incredibly soft fleece lining and textured outer fabric, it offers reliable protection from the elements and a cozy fit as well.	['Clothing', 'Women', 'Tops', 'Jackets']	Pink half-zip pullover.  Front pouch pockets.  Fold-down collar.	[{'Name': 'Riona Full Zip Jacket', 'Price': '£60.00', 'Link': 'https://gopher1.extrkt.com/?product=riona-full-zip-jacket'}, {'Name': 'Inez Full Zip Jacket', 'Price': '£59.00', 'Link': 'https://gopher1.extrkt.com/?product=inez-full-zip-jacket'}]	XS, S, M, L, XL	None	None	None	Blue, Orange, Red
1476	WH03	https://gopher1.extrkt.com/?product=autumn-pullie	Autumn Pullie	£57.00	https://gopher1.extrkt.com/wp-content/uploads/2023/11/wh03-red_main-300x300.jpg	Hoodies & Sweatshirts	This is a variable product called a Autumn Pullie	With ultra-soft fleece fabric and an athletic design, our short-sleeve Autumn Pullie delivers a comfortable fit that makes it an everyday essential. A luxurious roll neck protects you from elements.	['Clothing', 'Women', 'Tops', 'Hoodies & Sweatshirts']	Cayenne Short-Sleeve roll neck sweatshirt.  Relaxed fit.  Short-Sleeves.  Machine wash/dry.	[{'Name': 'Daphne Full-Zip Hoodie', 'Price': '£59.00', 'Link': 'https://gopher1.extrkt.com/?product=daphne-full-zip-hoodie'}, {'Name': 'Selene Yoga Hoodie', 'Price': '£42.00', 'Link': 'https://gopher1.extrkt.com/?product=selene-yoga-hoodie'}, {'Name': 'Miko Pullover Hoodie', 'Price': '£69.00', 'Link': 'https://gopher1.extrkt.com/?product=miko-pullover-hoodie'}]	XS, S, M, L, XL	None	None	None	Green, Purple, Red
780	MS03	https://gopher1.extrkt.com/?product=balboa-persistence-tee	Balboa Persistence Tee	£29.00	https://gopher1.extrkt.com/wp-content/uploads/2023/11/ms03-black_main-300x300.jpg	Tees	This is a variable product called a Balboa Persistence Tee	The Balboa Persistence Tee is a must-have for any athlete, Philadelphia or elsewhere. We took the best of performance apparel, cut the fluff and boiled it down to the basics for a lightweight, quick-drying t-shirt.	['Clothing', 'Men', 'Tops', 'Tees']	Crew neckline.  Semi-fitted.  Cocona® performance fabric.  Machine wash/dry.	[{'Name': 'Deion Long-Sleeve EverCool™ Tee', 'Price': '£39.00', 'Link': 'https://gopher1.extrkt.com/?product=deion-long-sleeve-evercool-tee'}, {'Name': 'Zoltan Gym Tee', 'Price': '£29.00', 'Link': 'https://gopher1.extrkt.com/?product=zoltan-gym-tee'}, {'Name': 'Logan  HeatTec® Tee', 'Price': '£24.00', 'Link': 'https://gopher1.extrkt.com/?product=logan-heattec-tee'}, {'Name': 'Ryker LumaTech™ Tee (V-neck)', 'Price': '£28.00', 'Link': 'https://gopher1.extrkt.com/?product=ryker-lumatech-tee-v-neck'}]	XS, S, M, L, XL	None	None	None	Gray, Green, Orange
1997	WP08	https://gopher1.extrkt.com/?product=bardot-capri	Bardot Capri	£48.00	https://gopher1.extrkt.com/wp-content/uploads/2023/11/wp08-black_main-300x300.jpg	Pants|Clothing	This is a variable product called a Bardot Capri	Black is back — was it ever gone? — which means all your favorite tops will get along with the comfortable and versatile Bardot Capri.	['Clothing', 'Women', 'Bottoms', 'Pants|Clothing', 'Promotions', 'Pants|Clothing']	Black capris with pink waistband. Cropped leggings. Waistband drawcord.  Flat, thin and flattering. Made with organic fabric.	[{'Name': 'Sylvia Capri', 'Price': '£42.00', 'Link': 'https://gopher1.extrkt.com/?product=sylvia-capri'}, {'Name': 'Cora Parachute Pant', 'Price': '£75.00', 'Link': 'https://gopher1.extrkt.com/?product=cora-parachute-pant'}, {'Name': 'Carina Basic Capri', 'Price': '£51.00', 'Link': 'https://gopher1.extrkt.com/?product=carina-basic-capri'}]	28, 29	None	None	None	Black, Green, Red
292	MJ01	https://gopher1.extrkt.com/?product=beaumont-summit-kit	Beaumont Summit Kit	£42.00	https://gopher1.extrkt.com/wp-content/uploads/2023/11/mj01-yellow_main-300x300.jpg	Jackets	This is a variable product called a Beaumont Summit Kit	The smooth nylon shell around the Beaumont Summit Kit combats wind, reinforced with a cold-fighting brushed fleece layer. The jacket is reversible, giving you a new look for the return trek. Ample pocket space rounds out this hiker’s paradise package.	['Clothing', 'Men', 'Tops', 'Jackets']	Yellow full zip rain jacket. Full-zip front.  Stand-up collar.  Elasticized cuffs.  Machine wash/dry.	[{'Name': 'Orion Two-Tone Fitted Jacket', 'Price': '£72.00', 'Link': 'https://gopher1.extrkt.com/?product=orion-two-tone-fitted-jacket'}, {'Name': 'Proteus Fitness Jackshirt', 'Price': '£45.00', 'Link': 'https://gopher1.extrkt.com/?product=proteus-fitness-jackshirt'}, {'Name': 'Taurus Elements Shell', 'Price': '£65.00', 'Link': 'https://gopher1.extrkt.com/?product=taurus-elements-shell'}, {'Name': 'Typhon Performance Fleece-lined Jacket', 'Price': '£60.00', 'Link': 'https://gopher1.extrkt.com/?product=typhon-performance-fleece-lined-jacket'}]	XS, S, M, L, XL	None	None	None	Orange, Red, Yellow
2503	WT01	https://gopher1.extrkt.com/?product=bella-tank	Bella Tank	£29.00	https://gopher1.extrkt.com/wp-content/uploads/2023/11/wt01-blue_main-300x300.jpg	Eco Friendly|Clothing	This is a variable product called a Bella Tank	Style, performance and comfort mix it up in the Bella Tank. With striking color block contrast, fitted form and a built-in bra, you’ll be supported and stylish at the same time.	['Clothing', 'Women', 'Tops', 'Bras & Tanks|Clothing', 'Collections', 'Eco Friendly|Clothing']	Navy blue tank top – cotton. Feminine scoop neckline. Power mesh lining in shelf bra for superior support. Soft, breathable fabric. Dry wick fabric to stay cool and dry.	None	XS, S, M, L, XL	None	None	None	Black, Blue, Orange
2393	WSH05	https://gopher1.extrkt.com/?product=bess-yoga-short	Bess Yoga Short	£28.00	https://gopher1.extrkt.com/wp-content/uploads/2023/11/wsh05-blue_main-300x300.jpg	Women Sale|Clothing	This is a variable product called a Bess Yoga Short	Designed for intense physical activity – think bikram – our Bess Yoga Short features moisture-wicking, four-way stretch fabric that lets you move in every which way. A vented gusset adds breathability and range of motion.	['Clothing', 'Women', 'Bottoms', 'Shorts|Clothing', 'Promotions', 'Women Sale|Clothing']	Navy cotton shorts with light bue waist detail. Front shirred waistband. Flat-lock, chafe-free side seams. Vented gusset. Hidden interior pocket. Sustainable and recycled fabric.	[{'Name': 'Maxima Drawstring Short', 'Price': '£28.00', 'Link': 'https://gopher1.extrkt.com/?product=maxima-drawstring-short'}]	28, 29, 30, 31, 32	None	None	None	Blue, Purple, Yellow
2696	24-WG01	https://gopher1.extrkt.com/?product=bolo-sport-watch	Bolo Sport Watch	£49.00	https://gopher1.extrkt.com/wp-content/uploads/2023/11/wg01-bk-0-300x300.jpg	Watches	This is a simple product called Bolo Sport Watch	The Bolo Sport Watch is sleek, sporty and sized just right to fit your smaller wrist. Easy to read and set up, it features a large digital face and button-activated alarm and stopwatch. The soft-touch resin band promises no-pinch comfort, while the water-resistant design lets you take your workout to the lap pool.	['Gear', 'Watches']	Displays time, day and date.Two-tone design.12/24 hour formats.Nickel-free buckle on band.Battery included.	[{'Name': 'Endurance Watch', 'Price': '£49.00', 'Link': 'https://gopher1.extrkt.com/?product=endurance-watch'}, {'Name': 'Luma Analog Watch', 'Price': '£43.00', 'Link': 'https://gopher1.extrkt.com/?product=luma-analog-watch'}, {'Name': 'Aim Analog Watch', 'Price': '£45.00', 'Link': 'https://gopher1.extrkt.com/?product=aim-analog-watch'}, {'Name': 'Clamber Watch', 'Price': '£54.00', 'Link': 'https://gopher1.extrkt.com/?product=clamber-watch'}]	None	Recreation, Sports	Women	Silicone	None
2668	WT09	https://gopher1.extrkt.com/?product=breathe-easy-tank	Breathe-Easy Tank	£34.00	https://gopher1.extrkt.com/wp-content/uploads/2023/11/wt09-white_main-300x300.jpg	Erin Recommends|Clothing	This is a variable product called a Breathe-Easy Tank	The Breathe Easy Tank is so soft, lightweight, and comfortable, you won’t even know it’s there — until its high-tech Cocona® fabric starts wicking sweat away from your body to help you stay dry and focused. Layer it over your favorite sports bra and get moving.	['Clothing', 'Women', 'Tops', 'Bras & Tanks|Clothing', 'Promotions', 'Women Sale|Clothing', 'Collections', 'Erin Recommends|Clothing']	Machine wash/dry. Cocona® fabric.	None	XS, S, M, L, XL	None	None	None	Purple, White, Yellow
62	MH03	https://gopher1.extrkt.com/?product=bruno-compete-hoodie	Bruno Compete Hoodie	£63.00	https://gopher1.extrkt.com/wp-content/uploads/2023/11/mh03-black_main-300x300.jpg	Eco Friendly|Clothing	This is a variable product called a Bruno Compete Hoodie	Stay comfortable and stay in the race no matter what the weather’s up to. The Bruno Compete Hoodie’s water-repellent exterior shields you from the elements, while advanced fabric technology inside wicks moisture to keep you dry.	['Clothing', 'Men', 'Tops', 'Hoodies & Sweatshirts|Clothing', 'Collections', 'Eco Friendly|Clothing']	Full zip black hoodie pullover.  Adjustable drawstring hood.  Ribbed cuffs/waistband.  Kangaroo pocket.  Machine wash/dry.	[{'Name': 'Chaz Kangeroo Hoodie', 'Price': '£52.00', 'Link': 'https://gopher1.extrkt.com/?product=chaz-kangeroo-hoodie'}, {'Name': 'Frankie  Sweatshirt', 'Price': '£60.00', 'Link': 'https://gopher1.extrkt.com/?product=frankie-sweatshirt'}]	XS, S, M, L, XL	None	None	None	Black, Blue, Green
